2020-05-22 19:15:34,813 [AUDIT] Token created by 'jffe@000': tokenId='4deaa4ff-a13b-4ba6-90d2-78c41b8b4c3d', issuer='jffe@000', subject='jffe@000', expiry=1590175534800, refreshable=false
2020-05-22 19:15:34,813 [AUDIT] Token created by 'jffe@000': tokenId='5f01723d-e15f-4660-b154-ddaa91b142f5', issuer='jffe@000', subject='jffe@000', expiry=1590175534800, refreshable=false
2020-05-25 15:30:18,779 [AUDIT] Token created by 'jffe@000': tokenId='a88c471a-42d0-4371-bb0e-aa577767c103', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590421218776, refreshable=false
2020-05-25 15:30:35,480 [AUDIT] Token created by 'jffe@000': tokenId='7c4f3c9d-88f7-4f30-9d0c-0832a26ea814', issuer='jffe@000', subject='jffe@000', expiry=1590421235476, refreshable=false
2020-05-25 15:30:35,481 [AUDIT] Token created by 'jffe@000': tokenId='ecb29f2f-68eb-44dd-a7e8-6c09bfaf0536', issuer='jffe@000', subject='jffe@000', expiry=1590421235475, refreshable=false
2020-05-25 15:30:35,483 [AUDIT] Token created by 'jffe@000': tokenId='f820bedd-3979-4aae-908a-1b2fb4ff51eb', issuer='jffe@000', subject='jffe@000', expiry=1590421235479, refreshable=false
2020-05-25 15:30:35,486 [AUDIT] Token created by 'jffe@000': tokenId='773cd63f-55a6-4e49-8e69-02135eae6165', issuer='jffe@000', subject='jffe@000', expiry=1590421235479, refreshable=false
2020-05-25 15:40:18,712 [AUDIT] Token created by 'jffe@000': tokenId='88f6555d-2676-458f-ac07-3e67ca95db37', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590421818695, refreshable=false
2020-05-25 15:40:35,524 [AUDIT] Token created by 'jffe@000': tokenId='71419dda-853c-4ca7-ab13-f0ff7ed1e050', issuer='jffe@000', subject='jffe@000', expiry=1590421835514, refreshable=false
2020-05-25 15:40:35,525 [AUDIT] Token created by 'jffe@000': tokenId='dcbef949-abfd-45bc-b5ce-62cc107c36a2', issuer='jffe@000', subject='jffe@000', expiry=1590421835514, refreshable=false
2020-05-25 15:40:35,529 [AUDIT] Token created by 'jffe@000': tokenId='275a232b-0f79-49ba-9ede-007a04b7b0a9', issuer='jffe@000', subject='jffe@000', expiry=1590421835515, refreshable=false
2020-05-25 15:40:35,527 [AUDIT] Token created by 'jffe@000': tokenId='fc3bbaf5-8e06-481d-9776-1e8ef375c654', issuer='jffe@000', subject='jffe@000', expiry=1590421835516, refreshable=false
2020-05-25 15:50:18,737 [AUDIT] Token created by 'jffe@000': tokenId='f433f6ed-3040-4167-90d4-751de1dc2b72', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590422418732, refreshable=false
2020-05-25 15:50:35,560 [AUDIT] Token created by 'jffe@000': tokenId='826a1c98-56b9-4baf-bda0-7e49a7e516de', issuer='jffe@000', subject='jffe@000', expiry=1590422435551, refreshable=false
2020-05-25 15:50:35,562 [AUDIT] Token created by 'jffe@000': tokenId='6b7a80b9-695b-4ba2-b84a-5d579128de49', issuer='jffe@000', subject='jffe@000', expiry=1590422435551, refreshable=false
2020-05-25 15:50:35,562 [AUDIT] Token created by 'jffe@000': tokenId='2ce564f3-3f3d-4653-a677-3fa9a6f44946', issuer='jffe@000', subject='jffe@000', expiry=1590422435551, refreshable=false
2020-05-25 15:50:35,565 [AUDIT] Token created by 'jffe@000': tokenId='bb6a70b6-7492-4e2c-a3f1-5b0d59e03bbc', issuer='jffe@000', subject='jffe@000', expiry=1590422435552, refreshable=false
2020-05-25 16:00:18,811 [AUDIT] Token created by 'jffe@000': tokenId='f06e9418-52ef-42d9-9da0-657d464f365a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590423018801, refreshable=false
2020-05-25 16:00:35,627 [AUDIT] Token created by 'jffe@000': tokenId='fafb81fe-30f7-4b21-82ab-6ba24ee1f065', issuer='jffe@000', subject='jffe@000', expiry=1590423035618, refreshable=false
